 ,3D_1ROI,3D_0ROI
1,181.196,0.000
2,178.969,214.400
3,188.418,213.556
4,181.920,205.511
5,182.951,212.316
6,228.644,223.636
7,286.618,256.889
8,357.493,418.311
9,429.511,464.507
10,498.556,550.680
11,465.458,592.956
12,457.578,541.391
13,413.373,449.884
14,402.729,393.107
15,341.013,359.609
16,303.387,323.298
17,260.969,297.938
18,227.178,286.164
19,157.836,155.164
20,155.982,149.987
21,151.431,146.689
22,0.000,148.933
23,0.000,143.747
24,0.000,0.000
25,0.000,0.000
26,0.000,0.000
27,0.000,0.000
28,0.000,0.000
29,0.000,0.000
30,0.000,0.000
31,0.000,0.000
32,0.000,0.000
33,0.000,0.000
34,0.000,0.000
35,0.000,0.000
36,0.000,0.000
37,0.000,0.000
38,0.000,0.000
39,0.000,0.000
40,0.000,0.000
41,0.000,0.000
42,0.000,0.000
43,0.000,0.000
44,0.000,0.000
45,0.000,0.000
46,0.000,0.000
47,0.000,0.000
48,0.000,0.000
49,0.000,0.000
50,0.000,0.000
51,0.000,0.000
52,0.000,0.000
53,0.000,0.000
54,0.000,0.000
55,0.000,0.000
56,0.000,0.000
57,0.000,0.000
58,0.000,0.000
59,0.000,0.000
60,0.000,0.000
61,0.000,0.000
62,0.000,0.000
63,0.000,0.000
64,0.000,0.000
